5,0,0,0,0,0,0,0,0,0,0,9,53,91,99,92,0,0,0,129,227,144,47,8,0,0,0,1,127,46,0,0,0,0,0,0,7,140,106,0,0,0,0,1,64,185,136,0,0,0,65,178,184,51,0,0,0,0,26,27,3,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,4,151,132,0,0,0,0,9,174,206,162,49,0,0,0,128,108,9,73,119,0,0,17,163,0,0,99,88,0,0,24,146,26,114,101,3,0,0,9,182,184,59,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,12,0,0,0,15,40,0,1,104,0,0,0,90,46,0,19,126,0,0,15,167,6,0,13,136,118,111,95,153,0,0,0,0,0,0,24,119,0,0,0,0,0,0,23,134,0,0,0,0,0,0,2,19,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,4,117,10,0,0,0,0,0,76,168,6,0,0,0,0,11,194,34,0,0,0,0,1,154,102,0,0,0,0,0,44,210,8,0,0,0,0,0,119,113,0,0,0,0,0,0,14,14,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,145,150,177,0,0,0,1,163,58,139,91,0,0,0,3,168,144,196,3,0,0,0,0,0,14,154,0,0,0,0,0,0,12,152,1,0,0,0,0,0,0,90,22,0,0
2,0,0,0,0,0,0,0,0,0,0,0,3,67,57,0,0,0,0,38,206,135,171,0,0,0,0,20,52,51,172,0,0,0,0,82,139,218,160,14,1,0,80,175,145,88,51,121,12,0,46,93,20,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,111,72,0,0,0,0,0,0,126,111,0,0,0,0,0,0,78,175,0,0,0,0,0,0,72,187,1,0,0,0,0,0,31,236,26,0,0,0,0,0,0,174,40,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,9,78,145,138,15,0,0,0,46,138,115,234,71,0,0,0,8,52,144,210,8,0,0,0,72,161,179,117,0,0,0,20,30,1,119,128,0,0,0,92,221,190,137,15,0,0,0,0,28,9,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,28,37,0,0,0,0,0,0,78,90,0,0,0,0,0,0,61,112,0,0,0,0,0,0,42,136,0,0,0,0,0,0,10,148,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,17,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,11,122,0,0,0,0,77,9,102,68,0,0,0,14,154,31,157,4,0,0,15,173,179,202,76,0,0,0,17,15,118,89,15,0,0,0,0,15,125,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,5,158,170,18,0,0,0,0,0,111,246,61,0,0,0,0,5,145,252,67,0,0,0,0,0,63,154,94,0,0,0,15,67,13,175,54,0,0,0,5,133,196,123,0,0,0,0,0,0,0,0,0,0,0
